2. РОДИВШИЕСЯ, УМЕРШИЕ И ЕСТЕСТВЕННЫЙ ПРИРОСТ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	  Число родившихся		Прирост, снижение           /-/	  Число  умерших		Прирост, снижение           /-/	Естественный прирост, убыль (-)	
								
	2010г.	2009г.		2010г.	2009г.		2010г.	2009г.
								
РОССИЙСКАЯ ФЕДЕРАЦИЯ	1788948	1761687	27261	2028516	2010543	17973	-239568	-248856
Центральный федеральный округ	410374	400644	9730	583581	574534	9047	-173207	-173890
Белгородская область	16635	16845	-210	22027	22011	16	-5392	-5166
Брянская область	13727	14401	-674	21775	21964	-189	-8048	-7563
Владимирская область	15542	15551	-9	26082	26407	-325	-10540	-10856
Воронежская область	23804	23559	245	39767	38581	1186	-15963	-15022
Ивановская область	11078	11390	-312	19604	19887	-283	-8526	-8497
Калужская область	11131	10537	594	16730	16762	-32	-5599	-6225
Костромская область	8104	8155	-51	11861	11900	-39	-3757	-3745
Курская область	12587	12462	125	19852	20236	-384	-7265	-7774
Липецкая область	12803	12654	149	19582	19145	437	-6779	-6491
Московская область	76881	74137	2744	108957	107079	1878	-32076	-32942
Орловская область	8687	8447	240	13724	13498	226	-5037	-5051
Рязанская область	11844	11643	201	20964	20573	391	-9120	-8930
Смоленская область	10307	10486	-179	18137	18660	-523	-7830	-8174
Тамбовская область	10350	10146	204	19198	18887	311	-8848	-8741
Тверская область	14864	15084	-220	27333	27238	95	-12469	-12154
Тульская область	14723	14751	-28	30049	29964	85	-15326	-15213
Ярославская область	14345	14315	30	21907	21665	242	-7562	-7350
г.Москва	122962	116081	6881	126032	120077	5955	-3070	-3996
Северо-Западный федеральный округ	154900	151712	3188	202813	204586	-1773	-47913	-52874
Республика Карелия	7792	7884	-92	10451	10599	-148	-2659	-2715
Республика Коми	11648	11868	-220	11819	12182	-363	-171	-314
Архангельская область	15466	15499	-33	17975	18067	-92	-2509	-2568
  Ненецкий автономный округ	699	695	4	500	495	5	199	200
Вологодская область	15102	15095	7	20174	19742	432	-5072	-4647
Калининградская область	10699	10823	-124	13317	13656	-339	-2618	-2833
Ленинградская область	15032	15023	9	27097	27732	-635	-12065	-12709
Мурманская область	9320	9074	246	9513	10050	-537	-193	-976
Новгородская область	7203	7178	25	12751	13137	-386	-5548	-5959
Псковская область	7078	7171	-93	14322	14502	-180	-7244	-7331
г.Санкт-Петербург	55560	52097	3463	65394	64919	475	-9834	-12822
Южный федеральный округ	164085	163419	666	194892	193256	1636	-30807	-29837
Республика Адыгея	5688	5513	175	6188	6219	-31	-500	-706
Республика Калмыкия	4432	4270	162	3191	3115	76	1241	1155
Краснодарский край	63624	63730	-106	70728	70497	231	-7104	-6767
Астраханская область	14307	14279	28	13636	13459	177	671	820
Волгоградская область	29427	29507	-80	38270	37670	600	-8843	-8163
Ростовская область	46607	46120	487	62879	62296	583	-16272	-16176
Северо-Кавказский федеральный округ	163020	157573	5447	80989	81969	-980	82031	75604
Республика Дагестан	52057	50416	1641	17013	16737	276	35044	33679
Республика Ингушетия	11178	9572	1606	1857	1877	-20	9321	7695
